LOAN_ID,APPLICATION_DATE,APPLICANT_AGE,ANNUAL_INCOME,EMPLOYMENT_STATUS,EMPLOYMENT_LENGTH_MONTHS,CREDIT_SCORE,EXISTING_DEBT,NUM_CREDIT_ACCOUNTS,LOAN_AMOUNT,LOAN_PURPOSE,LOAN_TERM_DAYS,INTEREST_RATE,STATE,LOAN_DEFAULT
XAJI0Y6DPBHSAHXT,2024-04-13,41,52048,Unemployed,0,775,76,4,2000,Home Repair,60,11.75,NV,N
HV3A3ZMF8MDD4V30,2024-10-06,32,63255,Unemployed,0,819,38661,4,500,Emergency,90,11.44,MI,Y
T9NT3W5UZBIKCIDK,2024-12-24,44,22264,Self-Employed,27,850,18134,5,2500,Home Repair,365,11.15,CA,N
WNNHJ7XVG0FN9XUY,2024-05-02,52,66736,Employed,128,611,22599,3,1000,Travel,60,20.58,PA,N
41IBLJH75LXO6QJI,2024-12-13,31,72231,Unemployed,0,738,4902,6,10000,Other,180,15.33,IL,Y
UJV6OH9SDBDW2PCN,2024-08-06,43,87405,Employed,3,780,10171,1,1000,Emergency,90,12.47,IL,N
9T84AZYTJXEPQ85J,2025-01-05,29,26923,Employed,34,579,19870,7,3000,Emergency,180,25.86,IL,Y
SG65KXVF1T2TALA7,2024-10-24,44,47731,Employed,93,703,33802,2,1000,Emergency,180,12.67,CO,N
53LC58DRC11ERTJ5,2024-09-11,26,33991,Employed,4,625,26899,8,500,Emergency,60,21.68,TX,N
PHT0HL9XPSEIMVIH,2024-08-19,50,58959,Employed,13,675,7750,3,500,Other,30,18.34,AZ,N
CWI64CIYHE7UR23G,2024-10-30,56,92266,Self-Employed,41,565,17473,5,5000,Emergency,60,25.77,NY,N
DPPQ0Y9DOM5IGQPK,2024-02-21,37,41068,Self-Employed,17,546,146,7,2000,Debt Consolidation,60,24.61,TX,Y
I7P5TB94874FRHOC,2024-01-09,48,80918,Self-Employed,14,665,18625,4,1500,Other,365,11.99,GA,N
N9J2QP89UZFK8UT0,2024-11-02,37,101606,Student,0,850,29284,7,1000,Car Repair,90,15.88,CA,N
CVS4F8CGVYIE6IVW,2024-11-04,38,57358,Student,0,689,24892,3,2500,Medical,90,19.83,PA,N
PVS7HZIOYKL1CQ99,2024-04-02,23,41317,Employed,3,706,9384,5,1500,Medical,60,12.88,NY,N
CHJ755NF4ZW9XA3K,2024-12-04,38,37343,Employed,75,647,47716,2,1500,Car Repair,60,16.92,CA,Y
X7EEDTJVZHWJR64D,2024-03-08,36,72691,Student,0,654,9687,2,1000,Other,60,15.27,TX,N
PJA1WJ0TPAC56T4U,2024-01-05,47,41487,Employed,7,690,12166,2,10000,Medical,60,14.19,OH,N
FEL6246HID25OWF7,2024-10-14,37,61931,Employed,66,723,781,7,2000,Emergency,60,15.43,PA,N
5935A0L7253J2D54,2024-11-04,67,48296,Employed,65,721,2900,7,2000,Education,90,13.51,TX,N
I3QK2IAGL58KXO9T,2024-07-20,39,18850,Employed,47,726,3105,6,3000,Medical,30,13.23,MI,N
7E8G8JDP0LVSNUJZ,2024-10-20,52,36627,Unemployed,0,659,3179,4,1000,Emergency,30,18.96,CO,Y
A7TZ0YNCXLL4ZKLO,2024-07-05,42,42055,Student,0,678,4987,6,1000,Medical,60,14.48,TX,Y
OKEP7Y6WKTAKPUXQ,2024-09-16,39,44900,Employed,37,705,10346,6,1500,Car Repair,30,14.12,CA,Y
